# Complete Hindi
## Chapter 05
आना (ānā);to come
इधर (idhar);here, over here
उधर (udhar);there, over there
कंबल (kambal);blanket
करना (karnā);to do
कहना (kahnā);to say (to)
का / की / के (kā/kī/ke);'s (indicating possession)
कॉफ़ी (kāfī);coffee
कुत्ता (kuttā);dog
कुरता (kurtā);kurta, Indian shirt
कौनसा / सी / से (kaunsā/sī/se);which?
ख़त (khat);letter
ख़याल (khayāl);opinion
खाना (khānā);to eat
खिलाना (khilānā);to serve, give to eat
खिलौना (khilaunā);toy
घोड़ा (ghoṛā);horse
चलना (calnā);to move
चाबी (cābī);key
छूना (chūnā);to touch
जगाना (jagānā);to wake someone up
ज़रा (zarā);just, a little
जल्दी (jaldī);quickly, soon, early
जाना (jānā);to go
झगड़ा (jhagṛā);quarrel, row
झगड़ा करना (jhagṛā karnā);to quarrel
ठहरना (ṭhaharnā);to stop, wait
ढूँढ़ना (ḍhū̃ṛhnā);to look for, find
तैयार (taiyār);ready
थैला (thailā);bag, cloth bag
दूध (dūdh);milk
देखना (dekhnā);to see, look
देना (denā);to give
देवर (devar);husband's younger brother
धोना (dhonā);to wash
धोबी (dhobī);dhobi, washerman
ध्यान (dhyān);attention
ध्यान से (dhyān se);attentively
न (na);don't (in commands)
नारा (nārā);slogan
नौकर (naukar);servant
पड़ा (paṛā);lying
पढ़ना (paṛhnā);to read, study
पान (pān);paan
पानी (pānī);water
पापा (pāpā);Papa, Father
पीना (pīnā);to drink, to smoke
पूछना (pūchnā);to ask (of)
पेड़ (peṛ);tree
पैसा (paisā);money, paisa
फल (phal);fruit
बंद करना (band karnā);to close, shut
बताना (batānā);to tell
बुलाना (bulānā);to call, invite
बैठना (baiṭhnā);to sit
बोलना (bolnā);to speak
भैया (bhaiyā);brother
मत (mat);don't (with commands)
मारना (mārnā);to beat, hit
रखना (rakhnā);to put, keep
लाना (lānā);to bring
लिखना (likhnā);to write
लेना (lenā);to take, receive
शैतान (śaitān);devil
सचमुच (sacmuc);really
सरल (saral);simple
साफ़ करना (sāf karnā);to clean
सिग्रेट (sigreṭ);cigarette
सुनना (sunnā);to listen, hear
होना (honā);to be, become
