# Complete Hindi Chapter 05
आइए सुरेश। (āie Sureś.);Come, Suresh.
खाना तैयार है, बैठिए। (khānā taiyār hai, baiṭhie.);The food is ready, please sit.
शुक्रिया। (śukriyā.);Thanks.
अच्छा, तो तुम अकेली नहीं हो। (acchā, to tum akelī nahī̃ ho.);Ah, you're not alone then.
दूसरे बच्चे कहाँ हैं? (dūsre bacce kahā̃ haĩ?);Where are the other children?
वे तो अभी बाहर हैं, खान मार्केट में। (ve to abhī bāhar haĩ, khān mārkeṭ mẽ.);They're out at the moment, in Khan Market.
राज, तू बैठ। (Rāj, tū baiṭh.);Raj, sit down.
इधर मत बैठ, उधर बैठ। (idhar mat baiṭh, udhar baiṭh.);Don't sit here, sit there.
अम्माँ, मुझको चाय दो। (ammā̃, mujhko cāy do.);Mum, give me tea.
मुझको दूध पसंद नहीं। (mujhko dūdh pasand nahī̃.);I don't like milk.
तू चाय मत पी, दूध पी। (tū cāy mat pī, dūdh pī.);Don't drink tea, drink milk.
तू तो अभी बहुत छोटा है बेटा! (tū to abhī bahut choṭā hai beṭā!);You're still very young, son!
सुरेश अंकल, अम्माँ से कहिए कि मैं छोटा बच्चा नहीं हूँ। (Sureś ankal, ammā̃ se kahie ki maĩ choṭā baccā nahī̃ hū̃.);Suresh Uncle, tell Mum that I'm not a little kid.
नहीं राज, तुम तो बहुत बड़े आदमी हो! (nahī̃ Rāj, tum to bahut baṛe ādmī ho!);No Raj, you're a very big fellow!
कमला, राज साहब को चाय दो! (Kamalā, Rāj sāhab ko cāy do!);Kamala, give Raj Sahib tea!
सुनिए सुरेश, राज बड़ा आदमी तो है, लेकिन बड़ा शैतान भी है! (sunie Sureś, Rāj baṛā ādmī to hai, lekin baṛā śaitān bhī hai!);Listen Suresh, Raj is a big man, but he's a big devil too!
राज, तुम्हें मालूम है कि अरुण चाचा की चाबियाँ कहाँ हैं? (Rāj, tumhẽ mālūm hai ki Aruṇ cācā kī cābiyā̃ kahā̃ haĩ?);Raj, do you know where Uncle Arun's keys are?
कौनसी चाबियाँ? (kaunsī cābiyā̃?);Which keys?
गाड़ी की चाबियाँ या घर की? (gāṛī kī cābiyā̃ yā ghar kī?);The car keys or the house ones?
कल तो संगीता के कमरे में थीं, उसकी मेज़ पर। (kal to Sangītā ke kamre mẽ thī̃, uskī mez par.);Yesterday they were in Sangeeta's room, on her table.
तो मुझसे मत पूछो, संगीता से पूछो। (to mujhse mat pūcho, Sangītā se pūcho.);So don't ask me, ask Sangeeta.
मैं संगीता का नौकर हूँ क्या? (maĩ Sangītā kā naukar hū̃ kyā?);Am I Sangeeta's servant?
नहीं राज, नौकर नहीं हो, तुम तो सचमुच "राजा" हो! (nahī̃ Rāj, naukar nahī̃ ho, tum to sacmuc "rājā" ho!);No Raj, you're not a servant, you really are a 'raja'!
अरे बच्चो! झगड़ा मत करो! (are bacco! jhagṛā mat karo!);Hey children! Don't squabble!
मुझे घर की चाबियाँ जल्दी दो। (mujhe ghar kī cābiyā̃ jaldī do.);Give me the house keys quickly.
उधर देखिए अंकल! (udhar dekhie ankal!);Look over there Uncle!
