# Complete Hindi Chapter 06
अकेलापन (akelāpan);loneliness
अक्सर (aksar);often, usually
अपना (apnā);one's own
इक्कीस (ikkīs);twenty-one
उच्चारण (uccāraṇ);pronunciation
उठना (uṭhnā);to get up, rise
उन्नीस (unnīs);nineteen
कंपनी (kampnī);company, firm
कभी कभी (kabhī kabhī);sometimes
कभी नहीं (kabhī nahī̃);never
की तरफ़ (kī taraf);towards
की तरह (kī tarah);like, in the manner of
के अंदर (ke andar);inside
के आगे (ke āge);in front of, ahead of
के ऊपर (ke ūpar);on top of
के नीचे (ke nīce);beneath, below
के/से पहले (ke/se pahle);before
के पास (ke pās);near
के पीछे (ke pīche);behind
के बाद (ke bād);after
के बारे में (ke bāre mẽ);about, concerning
के बाहर (ke bāhar);outside
के यहाँ (ke yahā̃);at the place of
के लिए (ke lie);for
के साथ (ke sāth);with, in company of
के सामने (ke sāmne);facing, opposite
ख़याल रखना (khayāl rakhnā);to take care of, mind
ख़ूब (khūb);a lot, well
गपशप (gapśap);gossip
गोश्त (gośt);meat
चाँद (cā̃d);moon
चुप (cup);silent
चौदह (caudah);fourteen
छोड़ना (choṛnā);to leave
जानना (jānnā);to know
टुकड़ा (ṭukṛā);piece, bit
डरना (ḍarnā);to fear
डाकघर (ḍākghar);post office
तेरा (terā);your (from तू)
थोड़ा (thoṛā);a little
दिन (din);day
दिन भर (din bhar);all day
देवनागरी (devanāgarī);Devanagari script
नफ़रत (nafrat);hate, dislike
नापसंद करना (nāpasand karnā);to dislike
प्यार (pyār);love, affection
प्यार करना (pyār karnā);to love
फिर (phir);then, again
बचपन (bacpan);childhood
बज (baj);o'clock
बधाई (badhāī);congratulations
मेहमान (mehmān);guest
लंबाई (lambāī);height, length
लिपि (lipi);script
वाह (vāh);wonderful! (admiration or scorn)
विदेशी (videśī);foreigner
वैसे (vaise);actually
व्यंग्य (vyaṅgy);sarcasm
शराब (śarāb);alcohol, liquor
शरारत (śarārat);mischief
शुक्रवार (śukravār);Friday
शुद्ध (śuddh);pure, unmixed
संस्कृत (saṃskṛt);Sanskrit
सहेली (sahelī);girl's female friend
साड़ी (sāṛī);sari
सीखना (sīkhnā);to learn
सोचना (socnā);to think
सोना (sonā);to sleep
स्टेशन (sṭeśan);station
हँसना (hãsnā);to laugh
हँसाना (hãsānā);to make laugh
हमारा (hamārā);our, ours
हमेशा (hameśā);always
होनहार (honahār);promising
मुश्किल (muśkil);difficult
