# Complete Hindi, Chapter 01
लड़का (laṛkā);boy
लड़की (laṛkī);girl
लड़के (laṛke);boys
लड़कियाँ (laṛkiyā̃);girls
आदमी (ādmī);man
औरत (aurat);woman
बच्चा (baccā);child (masculine)
बच्ची (baccī);child (feminine)
बच्चे (bacce);children
माता (mātā);mother
पिता (pitā);father
दादी (dādī);grandmother (paternal)
दादा (dādā);grandfather (paternal)
चाचा (cācā);uncle (father's younger brother)
बहू (bahū);daughter-in-law
बहुएँ (bahuẽ);daughters-in-law
राजा (rājā);king
बूढ़ा (būṛhā);elderly (masculine)
लोग (log);people
गाड़ी (gāṛī);car
साइकिल (sāikil);bicycle
मकान (makān);house
कमरा (kamrā);room
कमरे (kamre);rooms
अलमारी (almārī);cupboard
मेज़ (mez);table
मेज़ें (mezẽ);tables
कुरसी (kursī);chair
पंखा (pankhā);fan
खिड़की (khiṛkī);window
चिड़िया (ciṛiyā);bird
चिड़ियाँ (ciṛiyā̃);birds
प्रति (prati);copy
प्रतियाँ (pratiyā̃);copies (of book)
माताएँ (mātāẽ);mothers
आशा (āśā);hope
भाषा (bhāṣā);language
बड़ा (baṛā);big
छोटा (choṭā);small
दूसरा (dūsrā);other
ख़ाली (khālī);empty / vacant
साफ़ (sāf);clean
हवादार (havādār);airy
लाल (lāl);red
सफ़ेद (safed);white
गुजराती (gujarātī);Gujarati
जर्मन (jarman);German
पंजाबी (panjābī);Punjabi
अँग्रेज़ (ãgrez);English (person)
हिन्दुस्तानी (hindustānī);Indian (Hindustani)
भारतीय (bhāratīy);Indian
